"Median age (years)"
"HDI Rank (2015)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"169"," Afghanistan","15.9","","16.0","","15.7","","16.1","","16.1","","17.5",""
"75"," Albania","24.1","","24.7","","27.1","","29.3","","33.1","","34.3",""
"83"," Algeria","18.0","","19.4","","21.7","","24.1","","26.0","","27.6",""
"150"," Angola","16.1","","16.1","","16.0","","15.9","","15.9","","16.1",""
"62"," Antigua and Barbuda","25.3","","27.5","","29.2","","29.4","","29.8","","30.9",""
"45"," Argentina","27.2","","27.4","","27.9","","28.7","","29.9","","30.8",""
"84"," Armenia","27.0","","29.2","","30.3","","30.9","","31.6","","34.6",""
"2"," Australia","32.1"," a","33.7"," a","35.4"," a","36.6"," a","37.0"," a","37.5"," a"
"24"," Austria","36.4","","36.3","","38.2","","40.0","","41.9","","43.2",""
"78"," Azerbaijan","23.2"," b","24.2"," b","25.6"," b","27.1"," b","28.6"," b","30.9"," b"
"58"," Bahamas","23.6","","25.0","","27.0","","29.1","","30.9","","32.4",""
"47"," Bahrain","25.4","","26.4","","26.5","","27.7","","30.4","","30.3",""
"139"," Bangladesh","18.6","","19.5","","20.9","","22.4","","23.9","","25.6",""
"54"," Barbados","28.3","","31.1","","33.5","","35.2","","37.0","","38.5",""
"52"," Belarus","33.1","","34.7","","36.5","","38.1","","38.9","","39.6",""
"22"," Belgium","36.5","","37.6","","39.1","","40.3","","41.0","","41.5",""
"103"," Belize","17.9","","18.4","","19.2","","20.2","","21.9","","23.5",""
"167"," Benin","16.9","","17.2","","17.2","","17.6","","18.1","","18.6",""
"132"," Bhutan","18.1","","17.8","","19.1","","21.8","","24.2","","26.7",""
"118"," Bolivia (Plurinational State of)","19.1","","19.7","","20.5","","21.6","","22.8","","24.1",""
"81"," Bosnia and Herzegovina","29.7","","33.1","","35.8","","37.9","","39.7","","41.5",""
"108"," Botswana","17.4","","18.7","","19.9","","21.2","","22.9","","24.2",""
"79"," Brazil","22.4","","23.8","","25.2","","27.0","","29.1","","31.3",""
"30"," Brunei Darussalam","23.4","","24.2","","25.6","","26.9","","28.1","","30.6",""
"56"," Bulgaria","36.6","","38.3","","39.7","","41.1","","42.4","","43.5",""
"185"," Burkina Faso","16.3","","16.3","","16.4","","16.6","","16.7","","17.0",""
"184"," Burundi","16.2","","15.3","","15.5","","16.9","","17.7","","17.6",""
"122"," Cabo Verde","16.9","","17.2","","17.8","","19.7","","22.6","","24.5",""
"143"," Cambodia","17.9","","17.3","","18.1","","20.4","","22.7","","23.9",""
"153"," Cameroon","16.8","","16.8","","17.1","","17.5","","18.0","","18.5",""
"10"," Canada","32.9","","34.8","","36.8","","38.6","","39.7","","40.6",""
"188"," Central African Republic","18.4","","18.6","","18.7","","18.8","","19.4","","20.0",""
"186"," Chad","16.3","","15.8","","15.6","","15.4","","15.6","","16.0",""
"38"," Chile","25.9","","27.6","","29.4","","31.2","","32.8","","34.4",""
"90"," China","24.7","","27.0","","29.8","","32.6","","35.2","","37.0",""
"95"," Colombia","21.6","","23.0","","24.4","","26.1","","28.0","","30.1",""
"160"," Comoros","16.7","","17.0","","17.6","","18.4","","19.1","","19.7",""
"135"," Congo","17.9","","18.4","","18.9","","18.9","","18.9","","18.7",""
"176"," Congo (Democratic Republic of the)","17.1","","16.8","","16.6","","16.6","","16.7","","16.9",""
"66"," Costa Rica","23.1","","24.3","","25.6","","27.4","","29.2","","31.4",""
"45"," Croatia","35.8","","37.9","","38.9","","40.5","","41.7","","42.8",""
"68"," Cuba","27.7","","30.2","","32.8","","35.6","","38.6","","41.2",""
"33"," Cyprus","29.9","","31.0","","31.8","","32.9","","34.2","","35.9"," c"
"28"," Czech Republic","35.3","","36.1","","37.4","","38.7","","39.6","","41.5",""
"171"," Côte d'Ivoire","17.6","","18.0","","18.1","","17.9","","18.0","","18.4",""
"5"," Denmark","37.2","","37.7","","38.4","","39.5","","40.6","","41.6",""
"172"," Djibouti","17.5","","18.0","","19.1","","20.2","","22.0","","23.6",""
"99"," Dominican Republic","20.2","","21.3","","22.4","","23.6","","24.8","","26.1",""
"89"," Ecuador","20.5","","21.6","","22.8","","23.9","","25.2","","26.6",""
"111"," Egypt","19.8","","20.1","","21.3","","22.6","","23.9","","24.7",""
"117"," El Salvador","19.7","","21.1","","22.2","","23.4","","24.8","","26.7",""
"135"," Equatorial Guinea","21.7","","20.9","","19.2","","19.3","","19.9","","20.5",""
"179"," Eritrea","16.4","","15.2","","16.5","","18.1","","18.5","","18.6",""
"30"," Estonia","34.4","","36.4","","38.0","","39.4","","40.2","","41.7",""
"174"," Ethiopia","16.8","","16.7","","16.6","","16.8","","17.5","","18.6",""
"91"," Fiji","20.9","","21.6","","22.1","","25.3","","26.5","","27.6",""
"23"," Finland","36.4"," d","37.8"," d","39.4"," d","40.9"," d","42.0"," d","42.5"," d"
"21"," France","35.0","","36.4","","37.8","","39.0","","40.1","","41.2",""
"109"," Gabon","19.4","","19.2","","19.5","","20.0","","20.8","","21.4",""
"173"," Gambia","17.0","","16.6","","16.9","","16.8","","16.7","","16.8",""
"70"," Georgia","31.2"," e","32.6"," e","34.4"," e","35.8"," e","36.7"," e","37.5"," e"
"4"," Germany","37.6","","38.4","","40.1","","42.3","","44.3","","46.2",""
"139"," Ghana","17.8","","18.4","","18.9","","19.5","","20.1","","20.6",""
"29"," Greece","36.1","","37.1","","38.4","","39.7","","41.3","","43.6",""
"79"," Grenada","20.4","","20.9","","21.8","","23.3","","25.0","","27.2",""
"125"," Guatemala","17.1","","17.5","","18.1","","18.9","","19.9","","21.2",""
"183"," Guinea","18.2","","17.9","","17.8","","17.8","","18.1","","18.5",""
"178"," Guinea-Bissau","17.8","","17.6","","17.9","","18.4","","18.9","","19.4",""
"127"," Guyana","21.7","","22.0","","22.7","","23.6","","24.5","","24.7",""
"163"," Haiti","18.5","","18.5","","19.1","","20.3","","21.6","","23.0",""
"130"," Honduras","17.1","","17.6","","18.4","","19.6","","21.3","","23.4",""
"12"," Hong Kong, China (SAR)","30.9","","33.6","","36.5","","39.2","","41.1","","43.2",""
"43"," Hungary","36.4","","37.5","","38.6","","39.1","","39.9","","41.3",""
"9"," Iceland","30.0","","31.5","","32.8","","34.3","","34.9","","36.0",""
"131"," India","21.1","","21.8","","22.7","","23.8","","25.1","","26.6",""
"113"," Indonesia","21.3","","22.8","","24.4","","25.6","","27.2","","28.4",""
"69"," Iran (Islamic Republic of)","17.2","","18.5","","20.8","","24.1","","26.9","","29.5",""
"121"," Iraq","16.8","","17.5","","18.2","","18.7","","18.9","","19.3",""
"8"," Ireland","28.3","","30.1","","31.8","","33.3","","34.6","","36.9",""
"19"," Israel","25.9","","27.3","","28.0","","28.7","","30.1","","30.3",""
"26"," Italy","37.0","","38.6","","40.4","","42.0","","43.8","","45.9",""
"94"," Jamaica","22.0","","23.3","","24.7","","26.0","","27.3","","29.1",""
"17"," Japan","37.4","","39.6","","41.3","","43.0","","44.9","","46.5",""
"86"," Jordan","16.5","","19.1","","19.5","","20.8","","21.7","","22.5",""
"56"," Kazakhstan","26.0","","27.0","","27.7","","28.5","","28.8","","29.3",""
"146"," Kenya","15.5","","16.5","","17.4","","18.0","","18.5","","18.9",""
"137"," Kiribati","20.4","","19.6","","19.7","","20.8","","21.6","","22.4",""
"0"," Korea (Democratic People's Rep. of)","25.1","","27.4","","29.5","","31.6","","33.1","","33.9",""
"18"," Korea (Republic of)","27.0","","29.5","","32.1","","34.9","","37.8","","40.6",""
"51"," Kuwait","22.8","","26.9","","27.6","","28.1","","28.8","","31.0",""
"120"," Kyrgyzstan","21.6","","21.5","","22.5","","23.8","","24.0","","25.1",""
"138"," Lao People's Democratic Republic","17.7","","17.7","","18.1","","19.0","","20.3","","21.9",""
"44"," Latvia","34.6","","36.3","","37.9","","39.9","","41.2","","42.9",""
"76"," Lebanon","23.2","","24.5","","26.3","","26.5","","28.5","","28.5",""
"160"," Lesotho","17.7","","18.5","","18.7","","19.3","","20.1","","21.0",""
"177"," Liberia","17.4","","17.8","","18.1","","18.2","","18.3","","18.6",""
"102"," Libya","18.5","","20.4","","22.5","","24.5","","26.1","","27.5",""
"37"," Lithuania","32.7","","34.0","","36.0","","38.5","","40.6","","43.1",""
"20"," Luxembourg","36.4","","36.7","","37.3","","38.5","","38.9","","39.3",""
