HDI Rank 2015,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
169, Afghanistan,18.3,19.8,21.3,22.9,24.7,25.1,25.5,25.9,26.3,26.7
75, Albania,36.4,38.9,41.7,46.7,52.2,53.2,54.3,55.4,56.4,57.4
83, Algeria,52.1,56,59.9,63.8,67.5,68.2,68.9,69.5,70.1,70.7
32, Andorra,94.7,93.7,92.4,90.3,87.8,87.3,86.7,86.2,85.6,85.1
150, Angola,25.6,28.9,32.4,36.2,40.1,40.9,41.7,42.5,43.3,44
62, Antigua and Barbuda,35.4,34,32.1,29.2,26.2,25.7,25.1,24.6,24.2,23.8
45, Argentina,87,88.2,89.1,90.1,91,91.1,91.3,91.5,91.6,91.8
84, Armenia,67.4,66.1,64.7,64.2,63.6,63.4,63.2,63,62.8,62.7
2, Australia,85.4,86.1,87.2,88,88.7,88.9,89,89.2,89.3,89.4
24, Austria,65.8,65.8,65.8,65.8,65.9,65.9,65.9,65.9,65.9,66
78, Azerbaijan,53.7,52.2,51.4,52.4,53.4,53.6,53.9,54.1,54.4,54.6
58, Bahamas,79.8,81,82,82.3,82.5,82.6,82.7,82.7,82.8,82.9
47, Bahrain,88.1,88.4,88.4,88.4,88.5,88.6,88.6,88.7,88.7,88.8
139, Bangladesh,19.8,21.7,23.6,26.8,30.5,31.2,32,32.8,33.5,34.3
54, Barbados,32.6,33.3,33.8,32.9,32.1,31.9,31.8,31.7,31.6,31.5
52, Belarus,66,67.9,70,72.4,74.6,75,75.5,75.9,76.3,76.7
22, Belgium,96.4,96.8,97.1,97.4,97.6,97.7,97.7,97.8,97.8,97.9
103, Belize,47.5,47.5,47.7,46.3,45,44.7,44.5,44.3,44.1,44
167, Benin,34.5,36.8,38.3,40,41.9,42.3,42.7,43.1,43.5,44
132, Bhutan,16.4,20.5,25.4,31,34.8,35.6,36.4,37.1,37.9,38.6
118, Bolivia (Plurinational State of),55.6,59.4,61.8,64.2,66.4,66.9,67.3,67.7,68.1,68.5
81, Bosnia and Herzegovina,39.2,39.4,39.3,39.2,39.2,39.3,39.4,39.5,39.6,39.8
108, Botswana,41.9,49,53.2,55.1,56.2,56.5,56.7,56.9,57.2,57.4
79, Brazil,73.9,77.6,81.2,82.8,84.3,84.6,84.9,85.2,85.4,85.7
30, Brunei Darussalam,65.8,68.6,71.2,73.5,75.5,75.9,76.2,76.6,76.9,77.2
56, Bulgaria,66.4,67.8,68.9,70.6,72.3,72.6,73,73.3,73.6,73.9
185, Burkina Faso,13.8,15.1,17.8,21.5,25.7,26.5,27.3,28.2,29,29.9
184, Burundi,6.3,7.2,8.2,9.4,10.6,10.9,11.2,11.5,11.8,12.1
122, Cabo Verde,44.1,48.8,53.4,57.7,61.8,62.6,63.4,64.1,64.8,65.5
143, Cambodia,15.5,17.3,18.6,19.2,19.8,20,20.1,20.3,20.5,20.7
153, Cameroon,39.7,42.6,45.5,48.5,51.5,52.1,52.7,53.3,53.8,54.4
10, Canada,76.6,77.7,79.5,80.1,80.9,81.1,81.3,81.5,81.7,81.8
188, Central African Republic,36.8,37.2,37.6,38.1,38.8,39,39.3,39.5,39.8,40
186, Chad,20.8,21.5,21.6,21.8,22,22,22.1,22.2,22.3,22.5
38, Chile,83.3,84.5,86.1,87.4,88.6,88.8,89,89.2,89.4,89.5
90, China,26.4,31,35.9,42.5,49.2,50.6,51.9,53.2,54.4,55.6
95, Colombia,68.3,70.5,72.1,73.6,75,75.3,75.6,75.9,76.2,76.4
160, Comoros,27.9,28.3,28.1,27.9,27.9,28,28,28.1,28.2,28.3
135, Congo,54.3,56.4,58.7,61,63.2,63.7,64.1,64.5,65,65.4
176, Congo (Democratic Republic of the),30.6,32.8,35.1,37.5,39.9,40.4,41,41.5,42,42.5
66, Costa Rica,50,54.6,59,65.7,71.7,72.9,73.9,75,75.9,76.8
45, Croatia,54,54.9,55.6,56.4,57.5,57.8,58.1,58.4,58.7,59
68, Cuba,73.4,74.3,75.3,76.1,76.6,76.7,76.8,76.9,77,77.1
33, Cyprus,66.8,68,68.6,68.3,67.6,67.4,67.3,67.1,67,66.9
28, Czech Republic,75.2,74.6,74,73.6,73.3,73.2,73.1,73.1,73,73
171, CÙte d'Ivoire,39.3,41.2,43.5,46.8,50.6,51.3,52,52.8,53.5,54.2
5, Denmark,84.8,85,85.1,85.9,86.8,87,87.1,87.3,87.5,87.7
172, Djibouti,76,76.3,76.5,76.8,77,77.1,77.1,77.2,77.3,77.3
96, Dominica,63.1,64.8,65.3,66.6,68.1,68.4,68.7,69,69.3,69.5
99, Dominican Republic,55.2,57.6,61.7,67.4,73.8,74.9,76,77.1,78.1,79
89, Ecuador,55.1,57.8,60.3,61.7,62.7,62.9,63.1,63.3,63.5,63.7
111, Egypt,43.5,42.8,42.8,43,43,43,43,43,43.1,43.1
117, El Salvador,49.2,54,58.9,61.6,64.3,64.8,65.3,65.8,66.3,66.7
135, Equatorial Guinea,34.7,38.8,38.8,38.9,39.2,39.3,39.5,39.6,39.8,39.9
179, Eritrea,15.8,16.5,17.6,18.9,20.6,21,21.4,21.8,22.2,22.6
30, Estonia,71.2,70.3,69.4,68.7,68.1,68,67.8,67.7,67.6,67.5
174, Ethiopia,12.6,13.8,14.7,15.7,17.3,17.7,18.2,18.6,19,19.5
91, Fiji,41.6,45.5,47.9,49.9,51.8,52.2,52.6,53,53.4,53.7
23, Finland,79.4,81,82.2,82.9,83.6,83.7,83.8,84,84.1,84.2
21, France,74.1,74.9,75.9,77.1,78.3,78.6,78.8,79.1,79.3,79.5
109, Gabon,69.1,75.4,80.1,83.4,85.7,86,86.4,86.7,86.9,87.2
173, Gambia,38.3,43.4,47.9,52.3,56.3,57,57.7,58.4,59,59.6
70, Georgia,55,53.8,52.6,52.5,52.9,53,53.2,53.3,53.5,53.6
4, Germany,73.1,73.3,73.1,73.4,74.3,74.5,74.7,74.9,75.1,75.3
139, Ghana,36.4,40.1,43.9,47.3,50.7,51.4,52.1,52.7,53.4,54
29, Greece,71.5,72.1,72.7,74.5,76.3,76.6,77,77.3,77.7,78
79, Grenada,33.4,34.5,35.9,35.9,35.7,35.6,35.6,35.6,35.6,35.6
125, Guatemala,41.1,43.1,45.1,47.2,49.3,49.8,50.2,50.7,51.1,51.6
183, Guinea,28,29.5,31,32.8,34.9,35.3,35.7,36.2,36.7,37.2
178, Guinea-Bissau,28.1,32.6,36.7,40.9,45.2,46.1,46.9,47.7,48.5,49.3
127, Guyana,29.6,29.1,28.7,28.3,28.2,28.3,28.3,28.4,28.5,28.6
163, Haiti,28.5,32.6,35.6,44.1,52,53.5,54.8,56.2,57.4,58.6
130, Honduras,40.5,42.9,45.5,48.5,51.7,52.3,52.9,53.5,54.1,54.7
12," Hong Kong, China (SAR)",99.5,100,100,100,100,100,100,100,100,100
43, Hungary,65.8,65.2,64.6,66.4,68.9,69.3,69.8,70.3,70.8,71.2
9, Iceland,90.8,91.6,92.4,93,93.6,93.7,93.8,93.9,94,94.1
131, India,25.5,26.6,27.7,29.2,30.9,31.3,31.6,32,32.4,32.7
113, Indonesia,30.6,36.1,42,45.9,49.9,50.7,51.5,52.3,53,53.7
69, Iran (Islamic Republic of),56.3,60.2,64,67.6,70.6,71.2,71.8,72.3,72.9,73.4
121, Iraq,69.7,68.8,68.5,68.8,69,69.1,69.2,69.3,69.4,69.5
8, Ireland,56.9,57.9,59.1,60.5,61.8,62.1,62.4,62.7,63,63.2
19, Israel,90.4,90.9,91.2,91.5,91.8,91.9,91.9,92,92.1,92.1
26, Italy,66.7,66.9,67.2,67.7,68.3,68.4,68.6,68.7,68.8,69
94, Jamaica,49.4,50.6,51.8,52.8,53.7,53.9,54.1,54.3,54.6,54.8
17, Japan,77.3,78,78.6,86,90.5,91.2,91.9,92.5,93,93.5
86, Jordan,73.3,78.4,79.8,81.2,82.5,82.7,83,83.2,83.4,83.7
56, Kazakhstan,56.3,55.9,55.7,54.7,53.7,53.6,53.5,53.4,53.3,53.2
146, Kenya,16.7,18.3,19.9,21.7,23.6,24,24.4,24.8,25.2,25.6
137, Kiribati,35,36.4,43,43.6,43.8,43.9,43.9,44.1,44.2,44.3
0, Korea (Democratic People's Rep. of),58.4,59,59.4,59.8,60.2,60.3,60.4,60.6,60.7,60.9
18, Korea (Republic of),73.8,78.2,79.6,81.3,81.9,82,82.1,82.2,82.4,82.5
51, Kuwait,98,98,98.1,98.2,98.3,98.3,98.3,98.3,98.3,98.3
120, Kyrgyzstan,37.8,36.3,35.3,35.3,35.3,35.3,35.4,35.5,35.6,35.7
138, Lao People's Democratic Republic,15.4,17.4,22,27.4,33.1,34.3,35.4,36.5,37.6,38.6
44, Latvia,69.3,68.8,68.1,68,67.7,67.6,67.5,67.5,67.4,67.4
76, Lebanon,83.1,84.8,86,86.6,87.2,87.3,87.4,87.5,87.7,87.8
160, Lesotho,14,17,19.5,22.2,24.8,25.3,25.8,26.3,26.8,27.3
177, Liberia,55.4,46,44.3,46.1,47.8,48.2,48.5,48.9,49.3,49.7
102, Libya,75.7,76,76.3,76.9,77.6,77.8,78,78.2,78.4,78.6
15, Liechtenstein,16.9,16.5,15.1,14.7,14.5,14.4,14.4,14.3,14.3,14.3
37, Lithuania,67.6,67.3,67,66.6,66.8,66.7,66.6,66.6,66.5,66.5
20, Luxembourg,80.9,82.9,84.2,86.6,88.5,88.9,89.2,89.6,89.9,90.2
158, Madagascar,23.6,25.8,27.1,28.8,31.9,32.6,33.2,33.8,34.5,35.1
170, Malawi,11.6,13.3,14.6,15.1,15.5,15.7,15.8,15.9,16.1,16.3
59, Malaysia,49.8,55.7,62,66.6,70.9,71.7,72.5,73.3,74,74.7
105, Maldives,25.8,25.6,27.7,33.8,40,41.2,42.3,43.4,44.5,45.5
175, Mali,23.3,25.5,28.4,32.1,36,36.8,37.6,38.4,39.1,39.9
33, Malta,90.4,90.9,92.4,93.6,94.7,94.8,95,95.1,95.3,95.4
0, Marshall Islands,65.1,66.7,68.4,69.9,71.3,71.6,71.9,72.2,72.4,72.7
157, Mauritania,41.3,45.3,49.2,53.1,56.7,57.3,58,58.6,59.3,59.9
64, Mauritius,43.9,43.3,42.7,41.6,40.6,40.4,40.2,40,39.8,39.7
77, Mexico,71.4,73.4,74.7,76.3,77.8,78.1,78.4,78.7,79,79.2
127, Micronesia (Federated States of),25.8,25.1,22.3,22.3,22.3,22.3,22.3,22.3,22.4,22.4
107, Moldova (Republic of),46.8,46.3,45.8,45.3,44.9,44.9,44.9,44.9,44.9,45
0, Monaco,100,100,100,100,100,100,100,100,100,100
92, Mongolia,57,56.8,57.1,62.5,67.6,68.5,69.5,70.4,71.2,72
48, Montenegro,48,53.4,58.5,62.2,63.1,63.3,63.5,63.6,63.8,64
123, Morocco,48.4,51.7,53.3,55.1,57.7,58.2,58.7,59.2,59.7,60.2
181, Mozambique,25,27.5,29.1,30,31,31.2,31.4,31.7,31.9,32.2
145, Myanmar,24.6,25.5,27,28.9,31.4,31.9,32.5,33,33.6,34.1
125, Namibia,27.7,29.8,32.4,36.6,41.6,42.6,43.7,44.7,45.7,46.7
0, Nauru,100,100,100,100,100,100,100,100,100,100
144, Nepal,8.9,10.9,13.4,15.2,16.8,17.2,17.5,17.9,18.2,18.6
7, Netherlands,68.7,72.8,76.8,82.6,87.1,87.8,88.6,89.3,89.9,90.5
13, New Zealand,84.7,85.3,85.7,86.1,86.2,86.2,86.2,86.2,86.3,86.3
124, Nicaragua,52.3,53.5,54.7,55.9,57.3,57.5,57.8,58.1,58.5,58.8
